ime,delodajalec,opis,kategorija,regija
Vodja EU projektov,Adittec  kadrovske rešitve  d.o.o.,Za našega naročnika  vodilno energetsko družbo  ki razmišlja dolgoročno in se zaveda vpliva trajnostnega razvoja ter obnovljivih virov energije na okolje  iščemo izkušenega strokovnjaka  ki bo samostojno vodil in koordiniral EU projekte ter iskal nove priložnosti financiranja z evropskimi sredstvi.,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v zakladništvu ,Banka Sparkasse d.d.,Opis dela: izvajanje poslov denarnega trga  izvajanje kupoprodaje deviz izvajanje kupoprodaje vrednostnih papirjev..,bancnistvo-finance,osrednjeslovenska
Sodelavec produktnega vodenja ,PharmaLinea d.o.o.,Ekipa je naša glavna prednost  zato neprestano vlagamo v razvoj in izobraževanje sodelavcev. Ker želimo  da  tudi vi presegate svoje meje  smo ustvarili dinamično okolje  v katerem so vaše ideje močno zaželene in vaša  kreativnost spodbujana. ,bancnistvo-finance,osrednjeslovenska
Samostojni upravljalec kreditnih tveganj ,NLB d.d.,Zaradi pretekle in načrtovane rasti iščemo dva izkušena sodelavca (m/ž) v oddelku Kreditne analize ključnih komitentov za sodelovanje in pripravo bančnih poslov. Zadolženi boste za pripravo analiz  svetovanje pri transakcijah  sodelovanje z različnimi deležniki v procesu  ocena in presoja ključnih tveganj ter priprava strokovnih mnenj za odločevalce ter utemeljevanje odločitve ...,bancnistvo-finance,osrednjeslovenska
Upravljalec kreditnih tveganj - svetovalec,NLB d.d.,Zaradi pretekle in načrtovane rasti iščemo izkušenega sodelavca (m/ž) v oddelku Kreditne analize ključnih komitentov za sodelovanje in pripravo bančnih poslov. Zadolženi boste za pripravo analiz  svetovanje pri transakcijah  sodelovanje z različnimi deležniki v procesu  ocena ...,bancnistvo-finance,osrednjeslovenska
Poslovni analitik za razvoj IT storitev na področju sodobnih plačilnih inštrumentov,BANKART d.o.o.  Ljublj,Če si tehnološki navdušenec in želiš graditi kariero na IT področju  potem te vabimo  da se prijaviš na delovno mesto Poslovni analitik. V produktnem timu boš skrbel za vez med naročniki in razvojem.,bancnistvo-finance,osrednjeslovenska
Vodja finančno računovodske službe,Geoinvest d.o.o.,V svojo ekipo vabimo novega sodelavca za delovno mesto VODJA FINANČNO RAČUNOVODSKE SLUŽBE.,bancnistvo-finance,osrednjeslovenska
Različni profili ,OVB Allfinanz SI  d.o.,Od novih sodelavcev pričakujemo minimalno V. stopnjo izobrazbe  zagnanost  komunikativnost. Zaželene izkušnje iz področja financ  licenca za zavarovalno zastopanje in/ali trženje skladov  ni pa nič od tega pogoj za začetek sodelovanja z nami. ,bancnistvo-finance,osrednjeslovenska
Globalni zakladnik ,Iskraemeco d.d.,Kaj bodo vaše naloge? Zagotavljanje ustreznih strukturiranih produktov pri mednarodnih finančnih skupinah  pridobivanje primernih virov financiranja projektov matičnega in povezanih podjetij ..,bancnistvo-finance,osrednjeslovenska
Analitik/analitičarka na področju upravljanja tveganj in spremljave poslovanja,Triglav Skladi  d.o.o.,Iščemo nekoga  ki: mu branje in razumevanje zakonodaje in aktualne literature ter pisanje poročil in internih aktov ne povzroča težav  se ne ustraši finančnih izračunov  je timski igralec  pripravljen na sodelovanje  je samoiniciativen in ima željo po učenju...,bancnistvo-finance,osrednjeslovenska
Višji specialist za podjetja ,NLB d.d.,Ste visoko motivirani  proaktivni  tržno naravnani in vam je delo s podjetji izziv? Vabimo vas  da oddate prijavo ter se pridružite profesionalni ekipi organizacijske enote Poslovanje z mikro podjetji. Vaša naloga bo trženje naložbenih in nenaložbenih produktov ter pridobivanje novih strank.,bancnistvo-finance,osrednjeslovenska
Različni profili ,Nova KBM d. d.,Našim zaposlenim nudimo možnost osebnega in kariernega razvoja v odprtem  urejenem in varnem delovnem okolju z mednarodnim pridihom.,bancnistvo-finance,osrednjeslovenska
Samostojni računovodja,Hidrotehnik Vodnogospodarsko podjetje d.o.o.,Opis del in nalog: skrb za ažurno in pravilno knjiženje vseh dokumentov ter njihovo pravilno hrambo...,bancnistvo-finance,osrednjeslovenska
Specialist za finančno zdravje ,OVB Allfinanz SI  d.o.,Kaj pričakujemo od kandidatov? Minimalno V. stopnjo zaključene izobrazbe  izkušnje iz področja financ ali prodaje so zaželene  niso pa pogoj..,bancnistvo-finance,osrednjeslovenska
Junior strokovnjak za poslovno analitiko,STEKLARNA HRASTNIK d.o.o.,Od prvega dne bomo vlagali v najpomembnejšo prihodnost – v VAS! Po uspešno zaključenem usposabljanju (poskusno obdobje) boste postali član družine Steklarne Hrastnik za nedoločen čas.,bancnistvo-finance,osrednjeslovenska
Skrbnik premoženja ,FirstClass  kadrovsko svetovanje  d.o.o.,Za naše partnersko podjetje NLB d.d. iščemo mladega  motiviranega in zagnanega sodelavca.,bancnistvo-finance,osrednjeslovenska
(Samostojni) svetovalec za skladnost poslovanja ,Holding Slovenske elektrarne d.o.o.,Pogoji za kandidaturo so: 6/2  7 stopnja izobrazbe pravne  ekonomske ali druge ustrezne smeri ter tri leta delovnih izkušenj. Pričakujemo poznavanje zakonodaje in zakonodaje EU  aktivno znanje angleškega jezika ter napredno znanje dela na računalniku. ,bancnistvo-finance,osrednjeslovenska
Vodja oddelka KREDITNE ANALIZE TUJIH KOMITENTOV v organizacijski enoti Kreditnih analiz za pravne osebe ,NLB d.d.,Iščemo osebo  z izrazitim odnosom do povezovanja in iskanja finančnih rešitev  ki bo soustvarjala našo zgodbo okolju prijazne banke  usmerjene v trajnostno financiranje na celotnem področju NLB Skupine.,bancnistvo-finance,osrednjeslovenska
Sodelavec v oddelku notranje revizije,RCI BANQUE SOCIETE ANONYME  Bančna podružnica Ljublj,RCI bančna podružnica Ljubljana  v svojo ekipo vabi proaktivnega in dinamičnega kandidata na delovno mesto Sodelavec v oddelku notranje revizije (M/Ž). ,bancnistvo-finance,osrednjeslovenska
Vodja računovodstva ,HR Profees d.o.o.,Za naročnika  uspešno in stabilno podjetje iščemo vodjo računovodstva. Odgovorni boste za pripravo bilanc  vodenje glavne knjige in plačilnega prometa ter pripravo poročil. V kolikor imate vsj 5 let primerljivih delovnih izkušenj  vas vabimo k prijavi.,bancnistvo-finance,osrednjeslovenska
Sodelavec v plačilnem prometu ,DELAVSKA HRANILNICA d.d. LJUBLJANA,Okvirni opis delovnega mesta: izvajanje in preverjanje postopkov pošiljanja plačilnih nalogov v domače in mednarodne plačilne sisteme in knjiženje denarnih transakcij na račune fizičnih in pravnih oseb  procesiranje trajnih nalogov in usklajevanje stanja in prometa v zalednih aplikacijah.,bancnistvo-finance,osrednjeslovenska
Višji svetovalec kontaktnega centra ,NLB d.d.,Vam je blizu delo s strankami in imate prodajne veščine? Postanite nepogrešljiv član naše ekipe kontaktnega centra KC 24/7.,bancnistvo-finance,osrednjeslovenska
Računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,osrednjeslovenska
Računovodja ,ABB Inženiring d.o.o.,Opis delovnega mesta: odgovornost za pravilno izvajanje knjigovodstva v okviru računovodstva družbe  izvajanje vseh računovodske aktivnosti natančno in pravočasno v skladu s SRS in mednarodnimi standardi  procesi in navodili..,bancnistvo-finance,osrednjeslovenska
Direktor NLB Zavoda za upravljanje kulturne dediščine ,NLB d.d.,Bi bilo vodenje malega podjetja s področja kulture  ki upravlja muzej in umetnostno galerijo  izvaja program finančnega in likovnega opismenjevanja ter kvalitetnega preživljanja prostega časa  pravi izziv za vas? Svet zavoda NLB Kulturna dediščina vas vabi  da se prijavite na delovno mesto direktor/ica NLB Zavoda za upravljanje kulturne dediščine. ,bancnistvo-finance,osrednjeslovenska
Junior finančni kontroler - pripravnik ,REKRUTER jkps d.o.o.,Za mednarodno podjetje s področja avtomobilizma in široko razvejano distribucijsko mrežo v Adriatic regiji  iščemo nove sodelavce v finančnem oddelku.,bancnistvo-finance,osrednjeslovenska
Vodja poslovne enote,CBRE GWS d.o.o.,S svojim tehničnim znanjem in organizacijskimi sposobnostmi zagotavlja dolgoročno operativnost in varnost maloprodajnih postaj in omrežja stranke z optimiziranimi stroški obratovanja in vzdrževanja  nenehno spremlja tehnično stanje maloprodajne mreže in pravočasno pripravlja načrt vzdrževalnih in servisnih posegov ter tako zagotavlja in presega pričakovanja strank.,bancnistvo-finance,osrednjeslovenska
Knjigovodja,CVS mobile d.d.,Opis delovnega mesta: -	pregled in knjiženje dokumentov na ustrezne konte in stroškovna mesta z upoštevanjem ključa delitve ...,bancnistvo-finance,osrednjeslovenska
Računovodja VII/1,Institut &quot;Jožef Stefan&quot;,Iščemo diplomirano ekonomistko ali diplomiranega ekonomista s poznavanjem področja javnih financ in računovodenja.Področje dela: prodaja  projekti  programi  izdajanje računov  sodelovanje pri poročanju,bancnistvo-finance,osrednjeslovenska
Specialist za računovodstvo  kontroling in poročanje  v Ljubljani,Personal center d.o.o.,Za inovativno in napredno podjetje  ki se ukvarja z optimizacijo poslovanja  prodajo ter nabavo vozil  iščemo specialista za računovodstvo in poročanje!,bancnistvo-finance,osrednjeslovenska
Trezorec ,NLB d.d.,Bi vas veselilo delo na področju gotovinskega poslovanja? Vabimo vas  da postanete nepogrešljiv član ekipe organizacijske enote Trezor in oskrba z gotovino  Trezor - Ljubljana.,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,Rastoder d.o.o.,Samostojno knjiženje poslovnih dogodkov  spremljanje zakonodaje s področja računovodstva ter kontrola nad knjigovodskimi postavkami.,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec v Sektorju podpore in spremljave  poslovanja ,DELAVSKA HRANILNICA d.d. LJUBLJANA,V svoje vrste vabimo:Strokovnega sodelavca v Sektorju podpore in spremljave poslovanja (m/ž),bancnistvo-finance,osrednjeslovenska
Izkušeni računovodja/Senior accountant ,Deloitte d.o.o.,Nenehen razvoj in rast naše pisarne v Ljubljani pomenita tudi nove zaposlitvene priložnosti  in sicer iščemo:   Izkušenega računovodjo/Senior accountant (m/ž).,bancnistvo-finance,osrednjeslovenska
Višji svetovalec kontaktnega centra ,NLB d.d.,Vam je blizu delo s strankami in imate prodajne veščine? Postanite nepogrešljiv član naše ekipe kontaktnega centra KC 24/7.,bancnistvo-finance,osrednjeslovenska
Višji svetovalec v oddelku za finančno svetovanje ,Deloitte d.o.o.,V Deloittovem oddelku za finančno svetovanje vodimo postopke prodaje in nakupov podjetij  finančnega prestrukturiranja ter druge postopke v povezavi s kapitalsko strukturo podjetji. Pri tem sodelujemo s prevzemnimi in ciljnimi podjetji  bankami ter drugimi deležniki. ,bancnistvo-finance,osrednjeslovenska
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,bancnistvo-finance,osrednjeslovenska
Načrtovalec ERP rešitev za plače ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo kandidata za delovno mesto &#39;&#39;Načrtovalec ERP rešitev m/ž&#39;&#39; na področju plač.,bancnistvo-finance,osrednjeslovenska
Sodelavec za finančni kontroling ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,osrednjeslovenska
Samostojni računovodja,Hidrotehnik Vodnogospodarsko podjetje d.o.o.,Opis del in nalog: skrb za ažurno in pravilno knjiženje vseh dokumentov ter njihovo pravilno hrambo...,bancnistvo-finance,osrednjeslovenska
Računovodja ,Rastoder d.o.o.,Rastoder  družba z različnimi zanimivimi projekti  ki omogočajo izpopolnjevanje računovodskega znanja išče računovodjo in ponuja redno zaposlitev v stabilnem podjetju z dolgoletno tradicijo.,bancnistvo-finance,osrednjeslovenska
Različni profili ,Toyota Adria d.o.o.,Iščemo raznolike  nadarjene člane ekipe  ki bodo z nami gradili prihodnost. Kandidatom so na voljo delovna mesta na različnih področjih (prodaja  poprodaja  računovodstvo  finance  IT  leasing  mobilnostne storitve  administracija  HR  splošne zadeve  logistika in marketing)  iščemo tako začetnike kot že izkušene kandidate. ,bancnistvo-finance,osrednjeslovenska
Različni profili ,Unija d.o.o.,Biti del Unije ne pomeni samo stabilnega in urejenega delovnega okolja  ampak prinaša številne prednosti  ki nam pomagajo bolje usklajevati življenje in delo. Se pravi  bolje delati in hkrati bolje živeti.,bancnistvo-finance,osrednjeslovenska
Strokovni sodelavec za obračun in  knjigovodstvo plač ,BTC d.d.,Vaše delo bo obsegalo:izvedbo obračuna plač  davkov  prispevkov in drugih osebnih dohodkov zaposlenih; opravljanje administrativno tehničnih opravil na področju delovnih razmerij in izplačila osebnih dohodkov ...,bancnistvo-finance,osrednjeslovenska
Vodja  poslovne finance ,DIH Technology d.o.o.,IH išče Vodjo  poslovne finance za regijo EMEA ter nemško enoto. Vabimo vas  da se pridružite zelo izkušeni  mednarodno nagrajeni ekipi. ,bancnistvo-finance,osrednjeslovenska
SAP svetovalec za FI (finance) ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,bancnistvo-finance,osrednjeslovenska
SAP svetovalec za SD -prodaja in distribucija,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,bancnistvo-finance,osrednjeslovenska
Specialist za finance ,Manpower d.o.o.,Za našega naročnika  uspešno in mednarodno podjetje  iščemo natančno  motivirano in timsko naravnano osebo za delovno mesto &#39;&#39;Specialist za finance m/ž&#39;&#39;.,bancnistvo-finance,osrednjeslovenska
Vodja projektov in optimizacije procesov ,Addiko Bank d.d.,Piši nam  če: si natančen in stremiš k neprestanim izboljšavam poslovnih procesov  vidiš izziv v samostojnem vodenju in sodelovanju v projektih..,bancnistvo-finance,osrednjeslovenska
Računovodja ,Manpower d.o.o.,Za uspešno mednarodno podjetje  ki razvija tehnologije in izdeluje inovativne izdelke na področju obdelave aluminija in plastike  iščemo natančne in zanesljive kandidate za delovno mesto &quot;Računovodja m/ž&quot;.,bancnistvo-finance,osrednjeslovenska
Specialist za strateški in operativni kontroling ,KEFO d.o.o.,Naloge in odgovornosti: načrtovanje in nadzor nad finančnimi in denarnimi tokovi ter stroškovnimi mesti  kontroling projektov (analize  ugotavljanje odmikov  obveščanje…)  vzpostavitev sistema kazalnikov uspešnosti poslovanja in poročanja družb skupine KEFO ...,bancnistvo-finance,osrednjeslovenska
Knjigovodja ,Zdravstveni zavod Zdravj,Vas odlikujejo izkušnje na področju računovodstva in si želite novih izzivov? S svojimi izkušnjami in znanjem boste aktivno pripomogli k dobremu delovanju podjetja? ,bancnistvo-finance,osrednjeslovenska
Višji referent v Kontaktnem centru,Nova KBM d. d.,&#187;V naši ekipi si želimo osebo  ki hitro osvaja nova znanja in jih med seboj povezuje  je empatična v komunikaciji in uživa v timskem delu.&#171;,bancnistvo-finance,osrednjeslovenska
Podiplomski program Barilla Elevate / Barilla Elevate Graduate Program,Barilla ADRIATIK,Ste sveži diplomant in si želite uspeha? Si želite dinamične kariere  kjer lahko sprostite svojo ustvarjalnost in strast do hrane? Ne iščite več … Poskrbeli smo za vas! Elevate Graduate Program je naš recept za vaš uspeh!Barilla Adriatik vas vabi na 10-mesečno plačano pripravništvo  ki bo zaznamovalo vašo prihodnost!,bancnistvo-finance,obalna
Sosvetovalec prodaje v Kopru  Ljubljani  Novem mestu  Celju in Mariboru,NLB Lease&amp;Go d.o.o.,Skrivnost našega uspeha se skriva v ekipi inovativnih  ambicioznih in strastnih ljudeh  ki skrbijo za rast in razvoj podjetja ter njegovih ljudi. V ekipo vabimo Sosvetovalce prodaje v Kopru  Ljubljani  Novem mestu  Celju in Mariboru  ki nam bodo pomagal pri naši rasti.,bancnistvo-finance,obalna
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,bancnistvo-finance,obalna
Različni profili ,Banka Sparkasse d.d.,Skupaj z novimi sodelavci želimo še naprej graditi odlične ekipe in ustvarjati dobre rezultate  se razvijati in z vsem tem dodajati vrednost svojim strankam. Pričakujemo aktivne in proaktivne ter dinamične sodelavce  ustvarjalne in srčne ter pripravljene na sodelovanje in stalne spremembe.,bancnistvo-finance,obalna
Različni profili ,DARS - Družba za avtoceste RS,Z gradnjo  upravljanjem in vzdrževanjem avtocest in hitrih cest povezujemo Slovenijo ter omogočamo našim uporabnikom varno in udobno mobilnost. Pri tem sprejemamo različne ukrepe za zagotavljanje varnosti in čim večje pretočnosti avtocestnega omrežja. ,bancnistvo-finance,obalna
Različni profili ,FURS,Pristojni smo za pobiranje davkov  prispevkov za socialno varnost  carin  trošarin in drugih dajatev. Z različnimi ukrepi družbi in posameznikom zagotavljamo varnost in zaščito  med drugim s preprečevanjem tihotapljenja prepovedanih snovi in ponaredkov  z nadzorom iger na srečo ter z izvajanjem nadzora v prometu.,bancnistvo-finance,obalna
Izkušeni računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko za delovno mesto &#187;Izkušeni računovodja (m/ž)&#171;.,bancnistvo-finance,obalna
Junior računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko za delovno mesto &#187;Junior računovodja (m/ž)&#171;.,bancnistvo-finance,obalna
Izvršni direktor za knjigovodstvo in finance ,Tekstilna tovarna Okroglica  d.o.o.,Najpomembnejše dnevne naloge in odgovornosti: organizacija  vodenje in koordinacija področja financ in knjigovodstva v skladu z računovodskimi in finančnimi predpisi oz. standardi ...,bancnistvo-finance,obalna
Računovodja / Accountant,Pipistrel Vertical Solutions d.o.o.,Kot računovodja boste opravljali računovodske naloge v skladu z veljavnimi zakoni in predpisi ter izvajali računovodske usmeritve  načela in postopke. Vaše delo bo obsegalo ugotavljanje in izvajanje notranjih kontrol  pripravo poslovnih  statističnih poročil in navodil za delo ter opravljanje drugih nalog v skladu z usposobljenostjo in navodili.,bancnistvo-finance,obalna
Samostojni podjetniški svetovalec ,Addiko Bank d.d.,Piši nam  če: proaktivno gradiš odnose z ljudmi  zato te drugi dojemajo kot zaupanja vredno osebo...,bancnistvo-finance,obalna
Računovodja/Finančni knjigovodja ,2hm logistics d.o.o.,ddelka bi obsegalo sledeče: vodenje  koordiniranje in nadzor finančno računovodskega oddelka  poznavanje knjigovodske in računovodske operative  MSRP/IFRS  SRS in pripadajoče zakonodaje s področja računovodstva  financ ter davčnega področja ....,bancnistvo-finance,obalna
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,bancnistvo-finance,obalna
Različni profili ,OVB Allfinanz SI  d.o.,Od novih sodelavcev pričakujemo minimalno V. stopnjo izobrazbe  zagnanost  komunikativnost. Zaželene izkušnje iz področja financ  licenca za zavarovalno zastopanje in/ali trženje skladov  ni pa nič od tega pogoj za začetek sodelovanja z nami. ,bancnistvo-finance,obalna
Različni profili ,Nova KBM d. d.,Našim zaposlenim nudimo možnost osebnega in kariernega razvoja v odprtem  urejenem in varnem delovnem okolju z mednarodnim pridihom.,bancnistvo-finance,obalna
Bančni svetovalec (Koper),Banka Intesa Sanpaolo d. d.,Vaše naloge bodo predvsem: blagajniška opravila  prodaja bančnih produktov komitentom  sklepanje pogodb s komitenti  pridobivanje novih strank in oblikovanje dolgoročnih odnosov z njimi s ciljem velikega zadovoljstva strank.,bancnistvo-finance,obalna
Mid/Senior C++ razvijalec (Blockchain) ,Manpower d.o.o.,Za našega naročnika  uspešno in inovativno mednarodno podjetje s področja blockchain tehnologije iščemo proaktivne in radovedne kandidate za delovno mesto mid/senior C++ razvijalca m/ž.,bancnistvo-finance,obalna
Načrtovalec ERP rešitev za plače ,Manpower d.o.o.,Za našega naročnika  priznano podjetje  iščemo kandidata za delovno mesto &#39;&#39;Načrtovalec ERP rešitev m/ž&#39;&#39; na področju plač.,bancnistvo-finance,obalna
Različni profili ,Toyota Adria d.o.o.,Iščemo raznolike  nadarjene člane ekipe  ki bodo z nami gradili prihodnost. Kandidatom so na voljo delovna mesta na različnih področjih (prodaja  poprodaja  računovodstvo  finance  IT  leasing  mobilnostne storitve  administracija  HR  splošne zadeve  logistika in marketing)  iščemo tako začetnike kot že izkušene kandidate. ,bancnistvo-finance,obalna
Različni profili ,Unija d.o.o.,Biti del Unije ne pomeni samo stabilnega in urejenega delovnega okolja  ampak prinaša številne prednosti  ki nam pomagajo bolje usklajevati življenje in delo. Se pravi  bolje delati in hkrati bolje živeti.,bancnistvo-finance,obalna
SAP svetovalec za FI (finance) ,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,bancnistvo-finance,obalna
SAP svetovalec za SD -prodaja in distribucija,SAPPHIR poslovno svetovanje d.o.o.,Če ste pripravljeni sprejeti izziv in vas odlikujejo odgovoren pristop do dela  zanesljivost  proaktivnost  agilnost in inovativnost  vas vabimo  da se pridružite naši skupini SAP strokovnjakov.   ,bancnistvo-finance,obalna
Strokovni delavec V - finance ,Lip Bled d.o.o.,Vaše ključne naloge bodo: kontroliranje in šifriranje računovodske dokumentacije  vodenje saldakontov  vodenje evidenc osnovnih sredstev..,bancnistvo-finance,gorenjska
Skrbnik podjetnikov  v Poslovni mreži (Poslovalnici Kamnik in Trzin),SKB banka d.d. Ljublj,Opis del in nalog: pridobivanje novih strank  oblikovanje dolgoročnih poslovnih odnosov z obstoječimi strankami ter povečanje prodaje bančnih produktov in storitev..,bancnistvo-finance,gorenjska
Podiplomski program Barilla Elevate / Barilla Elevate Graduate Program,Barilla ADRIATIK,Ste sveži diplomant in si želite uspeha? Si želite dinamične kariere  kjer lahko sprostite svojo ustvarjalnost in strast do hrane? Ne iščite več … Poskrbeli smo za vas! Elevate Graduate Program je naš recept za vaš uspeh!Barilla Adriatik vas vabi na 10-mesečno plačano pripravništvo  ki bo zaznamovalo vašo prihodnost!,bancnistvo-finance,gorenjska
Kontroler ,Bosch Rexroth d.o.o.,Opis delovnega mesta: Izvajanje kontrolinga poslovanja. zdelovanje finančnih načrtov družbe in posameznih funkcij. Opozarjanje v primeru ugotovljenih odstopanj. Vodenje evidenc  izdelovanje analiz in pripravljanje poročil. Opravljanje drugih del v okviru strokovne usposobljenosti,bancnistvo-finance,gorenjska
Različni profili ,NLB d.d.,V NLB ponujamo svet priložnosti. Za vse  ki ne pristajajo na rutino in se ne bojijo novih izzivov. Za vse  ki so radi del velikih zgodb in vejo  da se te ne napišejo same. Z nami razvijajte svoje potenciale  nadgradite svoje znanje in skupaj se bomo podali novim zmagam naproti.,bancnistvo-finance,gorenjska
Različni profili ,Banka Sparkasse d.d.,Skupaj z novimi sodelavci želimo še naprej graditi odlične ekipe in ustvarjati dobre rezultate  se razvijati in z vsem tem dodajati vrednost svojim strankam. Pričakujemo aktivne in proaktivne ter dinamične sodelavce  ustvarjalne in srčne ter pripravljene na sodelovanje in stalne spremembe.,bancnistvo-finance,gorenjska
Različni profili ,DARS - Družba za avtoceste RS,Z gradnjo  upravljanjem in vzdrževanjem avtocest in hitrih cest povezujemo Slovenijo ter omogočamo našim uporabnikom varno in udobno mobilnost. Pri tem sprejemamo različne ukrepe za zagotavljanje varnosti in čim večje pretočnosti avtocestnega omrežja. ,bancnistvo-finance,gorenjska
Različni profili ,FURS,Pristojni smo za pobiranje davkov  prispevkov za socialno varnost  carin  trošarin in drugih dajatev. Z različnimi ukrepi družbi in posameznikom zagotavljamo varnost in zaščito  med drugim s preprečevanjem tihotapljenja prepovedanih snovi in ponaredkov  z nadzorom iger na srečo ter z izvajanjem nadzora v prometu.,bancnistvo-finance,gorenjska
Strokovni sodelavec/analitik v kontrolingu ,Hit Alpinea d.d.,Iščemo energično osebo z analitičnimi sposobnostmi in sistemskim razmišljanjem  da se pridruži naši ekipi.Če se prepoznate v zgornjem opisu  vas vabimo  da se pridružite v našem kolektivu kot Strokovni sodelavec/analitik v kontrolingu (m/ž),bancnistvo-finance,gorenjska
Računovodja ,HS plus d.o.o.,Zaradi povečanega obsega dela in novih poslovnih projektov  širimo našo ekipo v Računovodstvu  ki trenutno šteje 8 oseb.,bancnistvo-finance,gorenjska
Samostojni računovodja ,ADECCO H.R. d.o.o.,Adecco H.R. d.o.o.  vodilno mednarodno podjetje na področju upravljanja s človeškimi viri za svojega naročnika išče novega sodelavca/ko.,bancnistvo-finance,gorenjska
Računovodja ,E NALOŽBE d.o.o.,V družbi E NALOŽBE d.o.o. Vam nudimo zaposlitev za nedoločen čas na delovnem mestu Izkušenega računovodja  z najmanj 2 leti delovnih izkušenj in željo po strokovnem izpopolnjevanju. ,bancnistvo-finance,gorenjska
Produktni vodja  za področje kreditnega poslovanja prebivalstva  v Sektorju za digitalizacijo,Gorenjska banka d.d. Kranj,vno mesto se nahaja v Kranju na sedežu banke.,bancnistvo-finance,gorenjska
Bančni svetovalec  v Poslovni enoti Kranj,DELAVSKA HRANILNICA d.d. LJUBLJANA,Vaše delo bo predvidoma obsegalo: opravljanje plačilnega prometa za fizične in pravne osebe...,bancnistvo-finance,gorenjska
Projektni vodja ,FirstClass  kadrovsko svetovanje  d.o.o.,Pridruži se izobraževalno-zaposlitvenemu programu BusinessClass&#174;  ki je namenjen mladim z do 5 let delovne dobe  in začni svojo kariero v podjetju GRAD d.d. kot projektni vodja. ,bancnistvo-finance,gorenjska
Administrator ESG IN EU projektov ,Nomago d.o.o.,Si želiš novih kariernih izzivov? Želiš postati del Nomago tima  kjer skupaj z tradicijo  inovacijami  ter kakovostjo gradimo našo blagovno znamko? Imaš izkušnje pri delu z ljudmi in  s sodelovanjem v projektnih skupinah  ter si organiziran in natančen?Prihranili smo mesto za odločnega a prijaznega  iznajdljivega in motiviranega novega sodelavca !,bancnistvo-finance,gorenjska
Vodja oddelka regulatornega poročanja  v sektorju finančnega kontrolinga in računovodstva,Gorenjska banka d.d. Kranj,Če iščete nove razvojne priložnosti vas vabimo  da se nam oglasite. V svoji sredini si želimo tiste  ki verjamete v timsko delo in razvoj ter čutite odgovornost za ustvarjanje uspešne bančne prihodnosti. ,bancnistvo-finance,gorenjska
Svetovalec na bančnem okencu v poslovni enoti Kranj ,BKS Bank AG  Bančna podruž,Vaše glavne delovne naloge in odgovornosti bodo: opravljanje blagajniških  trezorskih in menjalniških poslov  opravljanje poslov plačilnega prometa ...,bancnistvo-finance,gorenjska
